0,1,2,3
3,Процессы и методологии разработки решений на основе ИИ,3,108
3,Продуктовый дизайн и прототипирование AI-решений,3,108
3,Стратегический продуктовый менеджмент,3,108
3,Монетизация ИИ-продуктов,3,108
3,Математика для машинного обучения и анализа данных,3,108
3,Математическая статистика,3,108
3,Основы машинного обучения,3,108
3,Основы глубокого обучения,3,108
3,Введение в большие языковые модели (LLM),3,108
3,Прикладной анализ временных рядов,3,108
3,Инженерные практики в ML и анализе данных,6,216
3,Прикладные инструменты разработки,6,216
3,Разработка веб-приложений (Python Backend),6,216
3,Проектирование микросервисов,6,216
,Пул выборных дисциплин. 4 семестр,9,324
4,Бизнес-анализ,3,108
4,Практики менторства и развития в Data Science,3,108
4,Управление проектами в Data Science,3,108
4,Метрики и аналитика продукта,3,108
4,Управление продуктовым портфелем,3,108
4,Основы маркетинга для ИИ-продуктов,3,108
4,Управление командами и проектами в ИИ,3,108
4,Правовые аспекты разработки и использования ИИ,3,108
4,Фандрайзинг и бизнес-планирование,3,108
,Универсальная (надпрофессиональная) подготовка,12,432
,Микромодули Soft Skills (1-3 семестры),3,108
"1, 2, 3",Элективные микромодули Soft Skills,3,108
,Мировоззренческий модуль ии,3,108
,Креативные технологии,3,108
1,Основы концептуального мышления / Introduction to Conceptual Thinking,3,108
1,Основы концептуального мышления,3,108
,Предпринимательская культура,3,108
3,Стартап-трек: от mvp до бизнеса,3,108
3,Создание и развитие технологического бизнеса,3,108
,Мышление,3,108
3,Этика в сфере информационных технологий и искусственного интеллекта,3,108
3,Критическое мышление (продвинутый уровень),3,108
3,Навыки критического мышления (продвинутый уровень) / Critical Thinking Skills (advanced),3,108
,"Иностранный язык (базовый, маг 2025/2026)",6,216
,Иностранный язык (маг 2025/2026). 2 семестр,3,108
2,Навыки презентации на английском языке / Presentation skills,3,108
2,Русский язык как иностранный / Russian as a foreign language,3,108
2,Английский язык B1.1 / English B1.1,3,108
2,Английский язык A2 / English A2,3,108
2,Английский язык A1 / English A1,3,108
,Иностранный язык (маг 2025/2026). 1 семестр,3,108
1,Английский язык A1 / English A1,3,108
1,Английский язык A2 / English A2,3,108
1,Английский язык B1.1 / English B1.1,3,108
1,Русский язык как иностранный / Russian as a foreign language,3,108
1,Научное письмо на английском языке / Scientific writing,3,108
,Блок 2. Практика,42,1512
,Практика,42,1512
,Преддипломная практика,6,216
4,"Производственная, преддипломная практика",6,216
