0,1
1. Цель и основные задачи вступительного экзамена,
"Отбор наиболее мотивированных кандидатов на обучение в магистратуре, определить",
"способности соискателей освоить выбранную программу магистратуры, а также",
выявить уровень подготовки абитуриентов к самостоятельной проектной деятельности.,
Основные задачи вступительного экзамена:,
,● Оценить уровень Hard и Soft Skills абитуриента.
,"● Определить область интересов абитуриента, связанных с тематикой"
,магистерской программы.
,● Определить уровень мотивации абитуриента к освоению магистерской
,программы.
